course_id,title_original,title,organization,rating,review_count,difficulty,course_type,duration_readable,duration,skills_formatted,skills,url,is_free
s12n~Elh2luF4EeS_FiIAC22KTw,Digital Marketing,digital marketing,University of Illinois Urbana-Champaign,4.668080279232109,22920,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Data, Storytelling, Marketing, Analytics, Keyword, Research, Email, Marketing, Marketing, Strategy, Digital, Marketing, Google, Analytics, Digital, Medium, Strategy, Analytics, Social, Medium, Strategy, Strategic, Communication, Online, Advertising, Marketing, Communication, Content, Marketing, Paid Media, Digital, Advertising, Marketing, Web, Analytics, Data, Analysis, Data, Visualization",data storytelling marketing analytics keyword research email marketing marketing strategy digital marketing google analytics digital medium strategy analytics social medium strategy strategic communication online advertising marketing communication content marketing paid_media digital advertising marketing web analytics data analysis data visualization,/specializations/digital-marketing,False
s12n~DmdTb5-EEeWKfBLwgrbazQ,Graphic Design,graphic design,California Institute of the Arts,4.73592214927597,21477,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Typography, Design, Element, Principle, Graphic, Design, Visual, Design, Logo, Design, Design, Software, Digital, Design, Creative, Design, Graphic, Visual, Design, Color, Theory, Adobe, Indesign, Photo, Editing, Photography, Design, Style, Guide, Branding, Peer, Review, Art, History, Design, Strategy, Design, Research",typography design element principle graphic design visual design logo design design software digital design creative design graphic visual design color theory adobe indesign photo editing photography design style guide branding peer review art history design strategy design research,/specializations/graphic-design,False
s12n~P9ChEotMRLO280OmpUbLEw,IBM Project Manager,ibm project manager,"IBM, SkillUp EdTech",4.793941841680129,4952,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"User, Story, Stakeholder, Engagement, Project, Management, Life, Cycle, Resource, Management, Risk, Management, Peer, Review, Agile, Software, Development, Earned, Value, Management, Stakeholder, Management, Agile, Methodology, Project, Risk, Management, Kanban, Principle, Team, Motivation, Backlog, Project, Management, Management, Interviewing, Skill, Professional, Networking, Leadership, Communication",user story stakeholder engagement project management life cycle resource management risk management peer review agile software development earned value management stakeholder management agile methodology project risk management kanban principle team motivation backlog project management management interviewing skill professional networking leadership communication,/professional-certificates/ibm-project-manager,False
s12n~0lTDLi0bEey5VQ4AdJWHJQ,Meta Marketing Analytics,meta marketing analytics,Meta,4.740804303278688,3904,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Data, Storytelling, Data, Presentation, Business, Metric, Key, Performance, Indicator, Kpis, Marketing, Analytics, Bayesian, Statistic, Data, Visualization, Descriptive, Statistic, Marketing, Effectiveness, Statistical, Hypothesis, Testing, Target, Audience, Marketing, Strategy, Data, Cleansing, Panda, Python, Package, Data, Analysis, Data, Visualization, Software, Testing, Data, Collection, Marketing, Interviewing, Skill",data storytelling data presentation business metric key performance indicator kpis marketing analytics bayesian statistic data visualization descriptive statistic marketing effectiveness statistical hypothesis testing target audience marketing strategy data cleansing panda python package data analysis data visualization software testing data collection marketing interviewing skill,/professional-certificates/facebook-marketing-analytics,False
s12n~R6iYD9cYTxOQjndt23v4Ew,Medical Billing and Coding Fundamentals,medical billing coding fundamental,MedCerts,4.762370778773261,1451,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Medical, Terminology, Revenue, Cycle, Management, Healthcare, Ethic, Medical, Billing, Coding, Conflict, Management, Anatomy, Pathology, Cultural, Responsiveness, Icd, Coding, Icdicd, Patient, Education, Counseling, Electronic, Medical, Record, Cultural, Diversity, Cultural, Sensitivity, Professionalism, Copayment, Collection, Processing, Health, Care, Procedure, Regulation, Medical, Record, Health, Information, Management, Medical, Record, Health, Care, Payment, Processing",medical terminology revenue cycle management healthcare ethic medical billing coding conflict management anatomy pathology cultural responsiveness icd coding icdicd patient education counseling electronic medical record cultural diversity cultural sensitivity professionalism copayment collection processing health care procedure regulation medical record health information management medical record health care payment processing,/specializations/medical-billing-coding-fundamentals,False
s12n~jHspMxHDEe2sEg6b-dPJLw,Certified in Cybersecurity,certified cybersecurity,ISC2,4.741651031894935,1066,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Network, Security, Incident, Response, Business, Continuity, Disaster, Recovery, Security, Control, Configuration, Management, Governance, Cybersecurity, Security, Management, Computer, Security, Incident, Management, Cyber, Attack, Computer, Security, Awareness, Training, Information, Assurance, Data, Security, Infrastructure, Security, Risk, Management, Framework, Event, Monitoring, Encryption, Rolebased, Access, Control, Rbac, Authorization, Computing",network security incident response business continuity disaster recovery security control configuration management governance cybersecurity security management computer security incident management cyber attack computer security awareness training information assurance data security infrastructure security risk management framework event monitoring encryption rolebased access control rbac authorization computing,/specializations/certified-in-cybersecurity,False
s12n~2YJ166NoEeWTPhJ0ghgVJw,Improve Your English Communication Skills,improve english communication skill,Georgia Institute of Technology,4.733823967804445,26836,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Sale, Presentation, Presentation, Business, Writing, Business, Correspondence, Verbal, Communication, Skill, Public, Speaking, Cultural, Diversity, Business, Communication, Professional, Networking, Cultural, Sensitivity, Writing, English, Language, Vocabulary, Communication, Writing, Editing, Interpersonal, Communication, Linkedin, Grammar, Interviewing, Skill, Instagram",sale presentation presentation business writing business correspondence verbal communication skill public speaking cultural diversity business communication professional networking cultural sensitivity writing english language vocabulary communication writing editing interpersonal communication linkedin grammar interviewing skill instagram,/specializations/improve-english,False
s12n~7wspOVNvEeaeIhL-Ft0S9w,Construction Management,construction management,Columbia University,4.745770717045941,9316,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"Project, Schedule, Construction, Management, Construction, Estimating, Project, Finance, Cost, Estimation, Punch, Work, Project, Risk, Management, Bidding, Building, Information, Modeling, Scheduling, Cost, Control, Environment, Health, Safety, Project, Closure, Lean, Methodology, Timeline, Real, Estate, Finance, Construction, Business, Transformation, Innovation",project schedule construction management construction estimating project finance cost estimation punch work project risk management bidding building information modeling scheduling cost control environment health safety project closure lean methodology timeline real estate finance construction business transformation innovation,/specializations/construction-management,False
s12n~bS6KvjKVSz-dNHb8MRzXOA,AWS Cloud Technology Consultant,aws cloud technology consultant,Amazon Web Services,4.758900405588102,6657,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Aws, Identity, Access, Management, Iam, Infrastructure, Code, Iac, Amazon, Cloudwatch, Aws, Cloudformation, Amazon, Dynamodb, Software, Development, Life, Cycle, Cicd, Amazon, Web, Service, Professional, Networking, Automation, Cloud, Computing, Amazon, Extract, Transform, Load, Devops, Software, Architecture, Cloud, Computing, Architecture, Cloud, Management, Data, Management, Problem, Solving, Teamwork",aws identity access management iam infrastructure code iac amazon cloudwatch aws cloudformation amazon dynamodb software development life cycle cicd amazon web service professional networking automation cloud computing amazon extract transform load devops software architecture cloud computing architecture cloud management data management problem solving teamwork,/professional-certificates/aws-cloud-technology-consultant,False
s12n~Zzxywe-_QRGpf_NyeGM8Jg,Product Management Certification,product management certification,SkillUp EdTech,4.638095238095239,420,Beginner,Specialization,3-6 months,THREE_TO_SIX_MONTHS,"New, Product, Development, Product, Management, Product, Development, Innovation, Product, Lifecycle, Management, Product, Roadmaps, Product, Planning, Product, Strategy, Project, Management, Life, Cycle, Stakeholder, Engagement, Stakeholder, Management, Competitive, Analysis, Product, Testing, Business, Development, Agile, Product, Development, Product, Requirement, Commercialization, Leadership, Go, Market, Strategy, Agile, Methodology",new product development product management product development innovation product lifecycle management product roadmaps product planning product strategy project management life cycle stakeholder engagement stakeholder management competitive analysis product testing business development agile product development product requirement commercialization leadership go market strategy agile methodology,/specializations/product-management-certification,False
